Date,Close
2018-12-03,27.5
2018-12-04,26.7
2018-12-06,26.64
2018-12-07,25.51
2018-12-10,25
2018-12-11,25.04
2018-12-12,25.17
2018-12-13,24.75
2018-12-14,24.45
2018-12-17,21.29
2018-12-18,21.07
2018-12-19,20.67
2018-12-20,19.56
2018-12-21,19.33
2018-12-24,18.92
2018-12-26,19.7
2018-12-27,19.68
2018-12-28,19.65
2018-12-31,19.76
2019-01-02,20.13
2019-01-03,19.69
2019-01-04,20.45
2019-01-07,20.89
2019-01-08,21.58
2019-01-09,21.89
2019-01-10,22.15
2019-01-11,22.14
2019-01-14,22.3
2019-01-15,22.81
2019-01-16,23.11
2019-01-17,23.12
2019-01-18,23.43
2019-01-22,23.38
2019-01-23,23.57
2019-01-24,23.92
2019-01-25,24.54
2019-01-28,24.3
2019-01-29,27.07
2019-01-30,28.16
2019-01-31,28.21
2019-02-01,28.52
2019-02-04,28.68
2019-02-05,28.98
2019-02-06,29.43
2019-02-07,28.98
2019-02-08,29.09
2019-02-11,29.29
2019-02-12,30.09
2019-02-13,30
2019-02-14,29.83
2019-02-15,30.46
2019-02-19,30.65
2019-02-20,30.87
2019-02-21,31.33
2019-02-22,31.49
2019-02-25,31.48
2019-02-26,31.47
2019-02-27,31.42
2019-02-28,30.9
2019-03-01,31.29
2019-03-04,31.36
2019-03-05,31.09
2019-03-06,30.85
2019-03-07,30.24
2019-03-08,30.3
2019-03-11,31.15
2019-03-12,31.13
2019-03-13,31.55
2019-03-14,31.08
2019-03-15,31.61
2019-03-18,32.01
2019-03-19,31.88
2019-03-20,32.01
2019-03-21,32.91
2019-03-22,31.07
2019-03-25,31.14
2019-03-26,32.03
2019-03-27,31.76
2019-03-28,32.01
2019-03-29,31.98
2019-04-01,33.01
2019-04-02,32.95
2019-04-03,33.09
2019-04-04,33.05
2019-04-05,33.38
2019-04-08,33.75
2019-04-09,33.24
2019-04-10,33.84
2019-04-11,34.25
2019-04-12,34.39
2019-04-15,34.53
2019-04-16,35
2019-04-17,34.67
2019-04-18,34.56
2019-04-22,33.81
2019-04-23,34.19
2019-04-24,33.69
2019-04-25,32.21
2019-04-26,32.31
2019-04-29,33.03
2019-04-30,33.36
2019-05-01,33.26
2019-05-02,32.95
2019-05-03,32.95
2019-05-06,32.65
2019-05-07,32.67
2019-05-08,32.09
2019-05-09,32.17
2019-05-10,32.23
2019-05-13,31.18
2019-05-14,31.44
2019-05-15,31.98
2019-05-16,32.47
2019-05-17,32.3
2019-05-20,32.12
2019-05-21,32.91
2019-05-22,31.85
2019-05-23,31.88
2019-05-24,31.91
2019-05-28,32.19
2019-05-29,31.55
2019-05-30,31.56
2019-05-31,30.61
2019-06-03,30.98
2019-06-04,33.3
2019-06-05,33.42
2019-06-06,34.03
2019-06-07,34.16
2019-06-10,34.69
2019-06-11,35.02
2019-06-12,34.91
2019-06-13,35.17
2019-06-14,34.42
2019-06-17,34.28
2019-06-18,34.89
2019-06-19,34.96
2019-06-20,35.45
2019-06-21,35.26
2019-06-24,34.82
2019-06-25,34.76
2019-06-26,35.3
2019-06-27,35.33
2019-06-28,35.41
2019-07-01,36.24
2019-07-02,35.64
2019-07-03,36.48
2019-07-05,36.44
2019-07-08,35.66
2019-07-09,35.95
2019-07-10,35.48
2019-07-11,34.92
2019-07-12,35.37
2019-07-15,35.01
2019-07-16,35.31
2019-07-17,34.86
2019-07-18,35.2
2019-07-19,34.29
2019-07-22,34.03
2019-07-23,34.72
2019-07-24,35.09
2019-07-25,34.54
2019-07-26,34.43
2019-07-29,33.94
2019-07-30,32.78
2019-07-31,32.1
2019-08-01,31.64
2019-08-02,30.58
2019-08-05,29.34
2019-08-06,29.29
2019-08-07,29.25
2019-08-08,29.72
2019-08-09,28.2
2019-08-12,28.09
2019-08-13,28.35
2019-08-14,27.58
2019-08-15,27.93
2019-08-16,28.57
2019-08-19,28.36
2019-08-20,28.08
2019-08-21,28.59
2019-08-22,28.61
2019-08-23,27.78
2019-08-26,28.1
2019-08-27,27.49
2019-08-28,27.82
2019-08-29,28.79
2019-08-30,28.99
2019-09-03,29.11
2019-09-04,29.31
2019-09-05,29.85
2019-09-06,29.85
2019-09-09,31.3
2019-09-10,31.3
2019-09-11,31.23
2019-09-12,30.47
2019-09-13,30.82
2019-09-16,31.06
2019-09-17,30.73
2019-09-18,30.58
2019-09-19,30.2
2019-09-20,29.64
2019-09-23,29.83
2019-09-24,29.51
2019-09-25,30
2019-09-26,30.39
2019-09-27,30.33
2019-09-30,29.91
2019-10-01,29.47
2019-10-02,28.97
2019-10-03,29.33
2019-10-04,29.59
2019-10-07,29.83
2019-10-08,28.31
2019-10-09,28.76
2019-10-10,28.82
2019-10-11,29.41
2019-10-14,29.26
2019-10-15,29.84
2019-10-16,29.45
2019-10-17,29.57
2019-10-18,29.8
2019-10-21,29.96
2019-10-22,30.36
2019-10-23,30.68
2019-10-24,30.38
2019-10-25,30.51
2019-10-28,30.79
2019-10-29,34.42
2019-10-30,34.12
2019-10-31,33.93
2019-11-01,33.48
2019-11-04,34.67
2019-11-05,36.37
2019-11-06,37.66
2019-11-07,37.31
2019-11-08,38.85
2019-11-11,38.36
2019-11-12,37.45
2019-11-13,37.6
2019-11-14,38.65
2019-11-15,38.94
2019-11-18,39.3
2019-11-19,38.69
2019-11-20,38.3
2019-11-21,38.69
2019-11-22,39.06
2019-11-25,38.76
2019-11-26,38.3
2019-11-27,38.8
2019-11-29,38.93
2019-12-02,38.5
2019-12-03,38.25
2019-12-04,38.35
2019-12-05,37.82
2019-12-06,37.77
2019-12-09,37.31
2019-12-10,36.76
2019-12-11,36.52
2019-12-12,37.12
2019-12-13,36.84
2019-12-16,36.81
2019-12-17,37.08
2019-12-18,37.29
2019-12-19,37.03
2019-12-20,37.35
2019-12-23,37.35
2019-12-24,37.37
2019-12-26,37.48
2019-12-27,37.31
2019-12-30,36.9
2019-12-31,36.87
2020-01-02,36.93
2020-01-03,36.45
2020-01-06,35.9
2020-01-07,35.95
2020-01-08,35.93
2020-01-09,36.6
2020-01-10,36.65
2020-01-13,37.04
2020-01-14,36.78
2020-01-15,36.72
2020-01-16,37.29
2020-01-17,37.33
2020-01-21,36.03
2020-01-22,36.32
2020-01-23,36.23
2020-01-24,35.52
2020-01-27,35.05
2020-01-28,36.78
2020-01-29,36.73
2020-01-30,36.98
2020-01-31,35.57
2020-02-03,36.29
2020-02-04,36.57
2020-02-05,37.62
2020-02-06,37.68
2020-02-07,37.17
2020-02-10,37.69
2020-02-11,37.51
2020-02-12,38.19
2020-02-13,38.21
2020-02-14,37.82
2020-02-18,37.22
2020-02-19,36.77
2020-02-20,36.78
2020-02-21,36.34
2020-02-24,34.86
2020-02-25,36.46
2020-02-26,35.73
2020-02-27,33.83
2020-02-28,32.2
2020-03-02,33.51
2020-03-03,31.87
2020-03-04,33.69
2020-03-05,31.66
2020-03-06,31.29
2020-03-09,27.5
2020-03-10,28.7
2020-03-11,27.84
2020-03-12,23.9
2020-03-13,23.96
2020-03-16,19.94
2020-03-17,19.68
2020-03-18,15.98
2020-03-19,17.46
2020-03-20,16.45
2020-03-23,16.11
2020-03-24,17.53
2020-03-25,18.62
2020-03-26,19.67
2020-03-27,17.66
2020-03-30,17.95
2020-03-31,18.94
2020-04-01,17.6
2020-04-02,18.48
2020-04-03,16.9
2020-04-06,18.71
2020-04-07,18.61
2020-04-08,19.26
2020-04-09,19.36
2020-04-13,18.19
2020-04-14,19
2020-04-15,17.27
2020-04-16,16.91
2020-04-17,18.12
2020-04-20,17.83
2020-04-21,16.77
2020-04-22,17.09
2020-04-23,17.39
2020-04-24,17.97
2020-04-27,17.82
2020-04-28,17.74
2020-04-29,19.29
2020-04-30,18.29
2020-05-01,17.03
2020-05-04,16.82
2020-05-05,17.03
2020-05-06,16.7
2020-05-07,17.33
2020-05-08,18.13
2020-05-11,17.58
2020-05-12,16.9
2020-05-13,15.37
2020-05-14,15.39
2020-05-15,14.89
2020-05-18,16.78
2020-05-19,17.38
2020-05-20,17.24
2020-05-21,17.24
2020-05-22,16.98
2020-05-26,17.43
2020-05-27,18.09
2020-05-28,16.81
2020-05-29,15.88
2020-06-01,17
2020-06-02,17.21
2020-06-03,17.95
2020-06-04,17.68
2020-06-05,18.46
2020-06-08,19.87
2020-06-09,18.92
2020-06-10,17.8
2020-06-11,16.06
2020-06-12,17.06
2020-06-15,16.79
2020-06-16,17.39
2020-06-17,16.74
2020-06-18,16.56
2020-06-19,16.31
2020-06-22,16.43
2020-06-23,16.33
2020-06-24,15.47
2020-06-25,15.65
2020-06-26,15.06
2020-06-29,15.3
2020-06-30,15.29
2020-07-01,15.15
2020-07-02,15.73
2020-07-06,15.89
2020-07-07,15.13
2020-07-08,15.42
2020-07-09,14.63
2020-07-10,15.49
2020-07-13,15.84
2020-07-14,16.15
2020-07-15,17.21
2020-07-16,17.33
2020-07-17,17.35
